fpi_program_name,fpi_al_number,submission_period,agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,obligations_undelivered_orders_unpaid_total,obligations_undelivered_orders_unpaid_total_FYB,USSGL480100_undelivered_orders_obligations_unpaid,USSGL480100_undelivered_orders_obligations_unpaid_FYB,USSGL488100_upward_adj_prior_year_undeliv_orders_oblig_unpaid,obligations_delivered_orders_unpaid_total,obligations_delivered_orders_unpaid_total_FYB,USSGL490100_delivered_orders_obligations_unpaid,USSGL490100_delivered_orders_obligations_unpaid_FYB,USSGL498100_upward_adj_of_prior_year_deliv_orders_oblig_unpaid,gross_outlay_amount_FYB_to_period_end,gross_outlay_amount_FYB,gross_outlays_undelivered_orders_prepaid_total,gross_outlays_undelivered_orders_prepaid_total_FYB,USSGL480200_undelivered_orders_obligations_prepaid_advanced,USSGL480200_undelivered_orders_obligations_prepaid_advanced_FYB,USSGL488200_upward_adj_prior_year_undeliv_orders_oblig_prepaid,gross_outlays_delivered_orders_paid_total,gross_outlays_delivered_orders_paid_total_FYB,USSGL490200_delivered_orders_obligations_paid,USSGL490800_authority_outlayed_not_yet_disbursed,USSGL490800_authority_outlayed_not_yet_disbursed_FYB,USSGL498200_upward_adj_of_prior_year_deliv_orders_oblig_paid,deobligations_or_recoveries_or_refunds_from_prior_year,USSGL487100_downward_adj_prior_year_unpaid_undeliv_orders_oblig,USSGL497100_downward_adj_prior_year_unpaid_deliv_orders_oblig,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,USSGL483100_undelivered_orders_obligations_transferred_unpaid,USSGL493100_delivered_orders_obligations_transferred_unpaid,USSGL483200_undeliv_orders_oblig_transferred_prepaid_advanced,last_modified_date
meat and poultry intermediary lending program,10.382,FY2025P08,Department of Agriculture,Agriculture,Agricultural research and services,012-0115,"Processing, Research and Marketing, Office of the Secretary, Agriculture",0028,CONSOLIDATED APPROP DIV N: MEAT AND POULTRY INTERMEDIARY LENDING PROGRAM,41.0,"Grants, subsidies, and contributions",,O,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act|Paycheck Protection Program and Health Care Enhancement Act|Consolidated Appropriations Act, 2021|American Rescue Plan Act of 2021",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
state mediation grants,10.435,FY2025P08,Department of Agriculture,Agriculture,Farm income stabilization,012-0170,"State Mediation Grants, Farm Service Agency, Agriculture",0001,STATE MEDIATION GRANTS,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,5623512.47,4246015.82,2612025.96,4246015.82,2612025.96,0.0,0.0,0.0,0.0,0.0,0.0,3989522.61,0.0,0.0,0.0,0.0,0.0,0.0,3989522.61,0.0,3989522.61,0.0,0.0,0.0,-24653.01,-24653.01,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
healthy food financing initiative,10.872,FY2025P08,Department of Agriculture,Agriculture,Farm income stabilization,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Office of the Secretary, Agriculture",0004,HEALTHY FOOD FINANCING INITIATIVE,41.0,"Grants, subsidies, and contributions",,V,American Rescue Plan Act of 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
meat and poultry processing expansion program,10.381,FY2025P08,Department of Agriculture,Agriculture,Farm income stabilization,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Office of the Secretary, Agriculture",0005,MEAT AND POULTRY PROCESSING EXPANSION PROGRAM,41.0,"Grants, subsidies, and contributions",,V,American Rescue Plan Act of 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
meat and poultry processing expansion program,10.381,FY2025P08,Department of Agriculture,Agriculture,Farm income stabilization,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Office of the Secretary, Agriculture",0006,MEAT AND POULTRY PROCESSING EXPANSION PROGRAM TA,25.2,Other services from non-Federal sources,D,V,American Rescue Plan Act of 2021,0.0,10747377.53,13891566.81,10747377.53,13891566.81,0.0,0.0,0.0,0.0,0.0,0.0,3144189.28,0.0,0.0,0.0,0.0,0.0,0.0,3144189.28,0.0,3144189.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
meat and poultry processing expansion program,10.381,FY2025P08,Department of Agriculture,Agriculture,Farm income stabilization,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Office of the Secretary, Agriculture",0035,ADMINISTRATIVE EXPENSES- MEAT AND POULTRY PROCESSING EXPANSION PROGRAMS,25.2,Other services from non-Federal sources,D,V,American Rescue Plan Act of 2021,0.0,0.0,33333.8,0.0,33333.8,0.0,0.0,0.0,0.0,33333.3,0.0,66667.1,0.0,0.0,0.0,0.0,0.0,0.0,66667.1,0.0,66667.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
urban agriculture and innovative production,10.935,FY2025P08,Department of Agriculture,Agriculture,Farm income stabilization,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Office of the Secretary, Agriculture",0041,OFFICE OF URBAN AGRICULTURE AND INNOVATIVE PRODUCTION,25.1,Advisory and assistance services,D,V,American Rescue Plan Act of 2021,0.0,5227756.68,8229227.72,5227756.68,8229227.72,0.0,0.0,0.0,0.0,254716.58,0.0,3256187.62,0.0,0.0,0.0,0.0,0.0,0.0,3256187.62,0.0,3256187.62,0.0,0.0,0.0,-164373.73,-164373.73,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
urban agriculture and innovative production,10.935,FY2025P08,Department of Agriculture,Agriculture,Farm income stabilization,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Office of the Secretary, Agriculture",0041,OFFICE OF URBAN AGRICULTURE AND INNOVATIVE PRODUCTION,25.2,Other services from non-Federal sources,D,V,American Rescue Plan Act of 2021,0.0,0.0,-658626.45,0.0,-658626.45,0.0,0.0,0.0,0.0,658626.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
urban agriculture and innovative production,10.935,FY2025P08,Department of Agriculture,Agriculture,Farm income stabilization,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Office of the Secretary, Agriculture",0047,URBAN AGRICULTURE AND INNOVATIVE PRODUCTION - FY 2022,25.1,Advisory and assistance services,D,V,American Rescue Plan Act of 2021,0.0,4365663.24,6583236.07,4365663.24,6583236.07,0.0,0.0,0.0,0.0,0.0,0.0,2217572.83,48085.0,0.0,0.0,0.0,48085.0,0.0,2265657.83,0.0,2265657.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
urban agriculture and innovative production,10.935,FY2025P08,Department of Agriculture,Agriculture,Farm income stabilization,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Office of the Secretary, Agriculture",0047,URBAN AGRICULTURE AND INNOVATIVE PRODUCTION - FY 2022,25.2,Other services from non-Federal sources,D,V,American Rescue Plan Act of 2021,0.0,0.0,-564903.11,0.0,-564903.11,0.0,0.0,0.0,0.0,564903.11,0.0,0.0,-48085.0,0.0,0.0,0.0,-48085.0,0.0,-48085.0,0.0,-48085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
expanded food and nutrition education program,10.514,FY2025P08,Department of Agriculture,Agriculture,Agricultural research and services,012-0502,"Extension Activities, National Institute of Food and Agriculture, Agriculture",0004,EXPANDED FOOD AND NUTRITION EDUCATION PROGRAM (EFNEP),41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,69400680.0,125124818.81,101166189.39,125124818.81,101166189.39,0.0,0.0,0.0,0.0,0.0,0.0,45442050.58,0.0,0.0,0.0,0.0,0.0,0.0,45442050.58,0.0,45442050.58,0.0,0.0,0.0,-65667.84,-65667.84,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
renewable resources extension act,10.515,FY2025P08,Department of Agriculture,Agriculture,Agricultural research and services,012-0502,"Extension Activities, National Institute of Food and Agriculture, Agriculture",0015,RENEWABLE RESOURCES EXTENSION ACT,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,3540000.0,4422919.99,3041792.07,4422919.99,3041792.07,0.0,0.0,0.0,0.0,0.0,0.0,2158872.08,0.0,0.0,0.0,0.0,0.0,0.0,2158872.08,0.0,2158872.08,0.0,0.0,0.0,-54556.45,-54556.45,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
food safety outreach program,10.328,FY2025P08,Department of Agriculture,Agriculture,Agricultural research and services,012-0502,"Extension Activities, National Institute of Food and Agriculture, Agriculture",0032,FOOD SAFETY OUTREACH PROGRAM,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,338118.13,20160535.02,25877937.14,20160535.02,25877937.14,0.0,0.0,0.0,0.0,0.0,0.0,6055520.25,0.0,0.0,0.0,0.0,0.0,0.0,6055520.25,0.0,6055520.25,0.0,0.0,0.0,-168914.95,-168914.95,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
gus schumacher nutrition incentive program,10.331,FY2025P08,Department of Agriculture,Agriculture,Agricultural research and services,012-0502,"Extension Activities, National Institute of Food and Agriculture, Agriculture",0037,THE GUS SCHUMACHER NUTRITION INCENTIVE PROGRAM,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,99669834.36,148672949.92,99669834.36,148672949.92,0.0,0.0,0.0,0.0,0.0,0.0,49003115.56,0.0,0.0,0.0,0.0,0.0,0.0,49003115.56,0.0,49003115.56,0.0,0.0,0.0,-77514.04,-77514.04,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,11.1,Full-time permanent,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,30921005.76,0.0,0.0,0.0,0.0,0.0,3866875.33,3866875.33,3866875.33,1018374.29,0.0,28072504.72,0.0,0.0,0.0,0.0,0.0,0.0,28072504.72,0.0,28072504.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,11.3,Other than full-time permanent,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,239559.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239559.55,0.0,0.0,0.0,0.0,0.0,0.0,239559.55,0.0,239559.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,11.5,Other personnel compensation,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,152561.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152561.77,0.0,0.0,0.0,0.0,0.0,0.0,152561.77,0.0,152561.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,12.1,Civilian personnel benefits,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,13097946.35,31.16,31.16,31.16,31.16,0.0,1567995.94,1567995.94,1567995.94,403936.46,0.0,11933886.87,0.0,0.0,0.0,0.0,0.0,0.0,11933886.87,0.0,11933886.87,0.0,0.0,0.0,-31.16,-31.16,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,13.0,Benefits for former personnel,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,618.36,1215.23,829.82,1215.23,829.82,0.0,0.0,0.0,0.0,0.0,0.0,232.95,0.0,0.0,0.0,0.0,0.0,0.0,232.95,0.0,232.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,21.0,Travel and transportation of persons,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,73160.33,551685.3,1161491.67,539273.72,1161491.67,12411.58,275.12,275.12,275.12,123785.53,0.0,806477.11,8172.0,3928.45,3928.45,3928.45,8172.0,0.0,810720.66,0.0,810720.66,0.0,0.0,0.0,-85802.36,-85802.36,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,22.0,Transportation of things,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,-228.02,101218.81,214927.79,101218.81,214927.79,0.0,0.0,0.0,0.0,5178.04,0.0,118659.0,18.71,0.0,0.0,0.0,18.71,0.0,118677.71,0.0,118677.71,0.0,0.0,0.0,-244.2,-244.2,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,23.1,Rental payments to GSA,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,207352.74,0.0,-288480.79,0.0,-288480.79,0.0,0.0,0.0,0.0,288480.79,0.0,207352.74,0.0,0.0,0.0,0.0,0.0,0.0,207352.74,0.0,207352.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,23.2,Rental payments to others,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,512142.27,0.0,940695.77,0.0,940695.77,0.0,0.0,0.0,0.0,-940695.77,0.0,512142.27,0.0,0.0,0.0,0.0,0.0,0.0,512142.27,0.0,512142.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,23.3,"Communications, utilities, and miscellaneous charges",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,161309.91,157876.4,-646956.79,157876.4,-646956.79,0.0,0.0,0.0,0.0,653035.79,0.0,9512.51,0.0,130.42,130.42,130.42,0.0,0.0,9382.09,0.0,9382.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
soil survey,10.903,FY2025P08,Department of Agriculture,Natural Resources and Environment,Conservation and land management,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",0002,SOIL SURVEYS,24.0,Printing and reproduction,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,42198.32,18960.67,9937.99,18960.67,9937.99,0.0,31474.0,31474.0,31474.0,86149.65,0.0,87851.29,0.0,0.0,0.0,0.0,0.0,0.0,87851.29,0.0,87851.29,0.0,0.0,0.0,-5052.0,-5052.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
