fpi_program_name,fpi_al_number,submission_period,agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,obligations_undelivered_orders_unpaid_total,obligations_undelivered_orders_unpaid_total_FYB,USSGL480100_undelivered_orders_obligations_unpaid,USSGL480100_undelivered_orders_obligations_unpaid_FYB,USSGL488100_upward_adj_prior_year_undeliv_orders_oblig_unpaid,obligations_delivered_orders_unpaid_total,obligations_delivered_orders_unpaid_total_FYB,USSGL490100_delivered_orders_obligations_unpaid,USSGL490100_delivered_orders_obligations_unpaid_FYB,USSGL498100_upward_adj_of_prior_year_deliv_orders_oblig_unpaid,gross_outlay_amount_FYB_to_period_end,gross_outlay_amount_FYB,gross_outlays_undelivered_orders_prepaid_total,gross_outlays_undelivered_orders_prepaid_total_FYB,USSGL480200_undelivered_orders_obligations_prepaid_advanced,USSGL480200_undelivered_orders_obligations_prepaid_advanced_FYB,USSGL488200_upward_adj_prior_year_undeliv_orders_oblig_prepaid,gross_outlays_delivered_orders_paid_total,gross_outlays_delivered_orders_paid_total_FYB,USSGL490200_delivered_orders_obligations_paid,USSGL490800_authority_outlayed_not_yet_disbursed,USSGL490800_authority_outlayed_not_yet_disbursed_FYB,USSGL498200_upward_adj_of_prior_year_deliv_orders_oblig_paid,deobligations_or_recoveries_or_refunds_from_prior_year,USSGL487100_downward_adj_prior_year_unpaid_undeliv_orders_oblig,USSGL497100_downward_adj_prior_year_unpaid_deliv_orders_oblig,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,USSGL483100_undelivered_orders_obligations_transferred_unpaid,USSGL493100_delivered_orders_obligations_transferred_unpaid,USSGL483200_undeliv_orders_oblig_transferred_prepaid_advanced,last_modified_date
state criminal alien assistance program,16.606,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",1,STATE CRIMINAL ALIEN ASSISTANCE PROGRAM,25.1,Advisory and assistance services,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,147648.0,23436.56,90727.89,23436.56,90727.89,0.0,431.21,431.21,431.21,4892.19,0.0,219400.31,0.0,0.0,0.0,0.0,0.0,0.0,219400.31,0.0,219400.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
state criminal alien assistance program,16.606,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",1,STATE CRIMINAL ALIEN ASSISTANCE PROGRAM,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,210403298.0,341913.1,0.16,341913.1,0.16,0.0,2218299.63,2218299.63,2218299.63,71391822.0,0.0,279234907.43,0.0,0.0,0.0,0.0,0.0,0.0,279234907.43,0.0,279234907.43,0.0,0.0,0.0,-341913.1,-341913.1,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
justice reinvestment initiative,16.827,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",11,COMMUNITY TRUST INITIATIVE: JUSTICE REINVESTMENT INITIATIVE,25.1,Advisory and assistance services,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,132551.0,228179.98,269524.82,228179.98,269524.82,0.0,78351.07,78351.07,78351.07,71505.36,0.0,167050.13,0.0,0.0,0.0,0.0,0.0,0.0,167050.13,0.0,167050.13,0.0,0.0,0.0,-81000.0,-81000.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
justice reinvestment initiative,16.827,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",11,COMMUNITY TRUST INITIATIVE: JUSTICE REINVESTMENT INITIATIVE,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,31122790.0,91738981.92,91900864.75,91738981.92,91900864.75,0.0,4168345.16,4168345.16,4168345.16,3372369.31,0.0,30488696.98,0.0,0.0,0.0,0.0,0.0,0.0,30488696.98,0.0,30488696.98,0.0,0.0,0.0,-1619002.07,-1616542.45,0.0,0.0,-2459.62,0.0,0.0,0.0,2024-11-15
project safe neighborhoods,16.609,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",43,PROJECT SAFE NEIGHBORHOODS,25.1,Advisory and assistance services,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
project safe neighborhoods,16.609,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",43,PROJECT SAFE NEIGHBORHOODS,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,16471748.0,63101970.01,63361077.89,63101970.01,63361077.89,0.0,3607590.76,3607590.76,3607590.76,3122099.41,0.0,16245364.53,0.0,0.0,0.0,0.0,0.0,0.0,16245364.53,0.0,16245364.53,0.0,0.0,0.0,-2984115.3,-2986122.82,0.0,0.0,2007.52,0.0,0.0,0.0,2024-11-15
indigent defense,16.836,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",118,JUVENILE INDIGENT DEFENSE,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,169598.48,589277.77,169598.48,589277.77,0.0,23180.29,23180.29,23180.29,88057.64,0.0,484556.64,0.0,0.0,0.0,0.0,0.0,0.0,484556.64,0.0,484556.64,0.0,0.0,0.0,-28858.16,-28858.16,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
children of incarcerated parents,16.831,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",140,CHILDREN OF INCARCERATED PARENTS DEMO GRANTS,25.1,Advisory and assistance services,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,38671.0,38812.31,33896.0,38812.31,33896.0,0.0,17906.69,17906.69,17906.69,2188.13,0.0,18036.13,0.0,0.0,0.0,0.0,0.0,0.0,18036.13,0.0,18036.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
children of incarcerated parents,16.831,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",140,CHILDREN OF INCARCERATED PARENTS DEMO GRANTS,25.3,Other goods and services from Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,50000.0,50000.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
children of incarcerated parents,16.831,FY2024P12,Department of Justice,Administration of Justice,Criminal justice assistance,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",140,CHILDREN OF INCARCERATED PARENTS DEMO GRANTS,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,5005886.0,16020181.92,16159041.16,16020181.92,16159041.16,0.0,1885795.39,1885795.39,1885795.39,1264852.3,0.0,4523802.15,0.0,0.0,0.0,0.0,0.0,0.0,4523802.15,0.0,4523802.15,0.0,0.0,0.0,-924663.5,-924663.5,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
