fpi_program_name,fpi_al_number,submission_period,agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,obligations_undelivered_orders_unpaid_total,obligations_undelivered_orders_unpaid_total_FYB,USSGL480100_undelivered_orders_obligations_unpaid,USSGL480100_undelivered_orders_obligations_unpaid_FYB,USSGL488100_upward_adj_prior_year_undeliv_orders_oblig_unpaid,obligations_delivered_orders_unpaid_total,obligations_delivered_orders_unpaid_total_FYB,USSGL490100_delivered_orders_obligations_unpaid,USSGL490100_delivered_orders_obligations_unpaid_FYB,USSGL498100_upward_adj_of_prior_year_deliv_orders_oblig_unpaid,gross_outlay_amount_FYB_to_period_end,gross_outlay_amount_FYB,gross_outlays_undelivered_orders_prepaid_total,gross_outlays_undelivered_orders_prepaid_total_FYB,USSGL480200_undelivered_orders_obligations_prepaid_advanced,USSGL480200_undelivered_orders_obligations_prepaid_advanced_FYB,USSGL488200_upward_adj_prior_year_undeliv_orders_oblig_prepaid,gross_outlays_delivered_orders_paid_total,gross_outlays_delivered_orders_paid_total_FYB,USSGL490200_delivered_orders_obligations_paid,USSGL490800_authority_outlayed_not_yet_disbursed,USSGL490800_authority_outlayed_not_yet_disbursed_FYB,USSGL498200_upward_adj_of_prior_year_deliv_orders_oblig_paid,deobligations_or_recoveries_or_refunds_from_prior_year,USSGL487100_downward_adj_prior_year_unpaid_undeliv_orders_oblig,USSGL497100_downward_adj_prior_year_unpaid_deliv_orders_oblig,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,USSGL483100_undelivered_orders_obligations_transferred_unpaid,USSGL493100_delivered_orders_obligations_transferred_unpaid,USSGL483200_undeliv_orders_oblig_transferred_prepaid_advanced,last_modified_date
national infrastructure investments,20.933,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0143,"National Infrastructure Investments, Office of the Secretary, Transportation",1,NATIONAL INFRASTRUCTURE INVESTMENTS GRANTS,21.0,Travel and transportation of persons,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,1454.12,2753.23,1454.12,2753.23,0.0,0.0,0.0,0.0,0.0,0.0,1299.11,0.0,0.0,0.0,0.0,0.0,0.0,1299.11,0.0,1299.11,0.0,0.0,0.0,-254.12,-254.12,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national infrastructure investments,20.933,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0143,"National Infrastructure Investments, Office of the Secretary, Transportation",1,NATIONAL INFRASTRUCTURE INVESTMENTS GRANTS,25.2,Other services from non-Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,2881140.43,3379500.62,2881140.43,3379500.62,0.0,0.0,0.0,0.0,7638.68,0.0,505998.87,0.0,0.0,0.0,0.0,0.0,0.0,505998.87,0.0,505998.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national infrastructure investments,20.933,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0143,"National Infrastructure Investments, Office of the Secretary, Transportation",1,NATIONAL INFRASTRUCTURE INVESTMENTS GRANTS,25.3,Other goods and services from Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national infrastructure investments,20.933,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0143,"National Infrastructure Investments, Office of the Secretary, Transportation",1,NATIONAL INFRASTRUCTURE INVESTMENTS GRANTS,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,142636903.0,1270842834.0,1439041931.2,1270842834.0,1439041931.2,0.0,6589614.0,6589614.0,6589614.0,61969645.57,0.0,366216031.77,0.0,0.0,0.0,0.0,0.0,0.0,366216031.77,0.0,366216031.77,0.0,0.0,0.0,-13228106.75,-13228106.75,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national infrastructure investments,20.933,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0143,"National Infrastructure Investments, Office of the Secretary, Transportation",1,NATIONAL INFRASTRUCTURE INVESTMENTS GRANTS,41.0,"Grants, subsidies, and contributions",D,Z,Infrastructure Investment and Jobs Act,631133694.98,1862770379.71,1463136919.39,1862770379.71,1463136919.39,0.0,4884320.0,4884320.0,4884320.0,14465900.32,0.0,241081814.98,0.0,0.0,0.0,0.0,0.0,0.0,241081814.98,0.0,241081814.98,0.0,0.0,0.0,-984509.6,-984509.6,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national priority safety programs,20.616,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0671,"Supplemental Highway Traffic Safety Programs, National Highway Traffic Safety Administration, Transportation",2,SEC. 405 - NATIONAL PRIORITY SAFETY PROGRAMS,41.0,"Grants, subsidies, and contributions",D,Z,Infrastructure Investment and Jobs Act,21904298.51,44139651.72,38126204.61,44139651.72,38126204.61,0.0,17641.47,17641.47,17641.47,0.0,0.0,15873209.93,0.0,0.0,0.0,0.0,0.0,0.0,15873209.93,0.0,15873209.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
railroad safety,20.301,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0701,"Railroad Safety Technology Program, Federal Railroad Administration, Transportation",1,RAILROAD SAFETY TECHNOLOGY,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,642445.0,628428.22,642445.0,628428.22,0.0,0.0,0.0,0.0,14016.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
railroad research and development,20.313,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0745,"Railroad Research and Development, Federal Railroad Administration, Transportation",801,RAILROAD RESEARCH AND DEVELOPMENT (REIMBURSABLE),25.3,Other goods and services from Federal sources,R,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,183.09,183.09,183.09,183.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
railroad research and development,20.313,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0745,"Railroad Research and Development, Federal Railroad Administration, Transportation",801,RAILROAD RESEARCH AND DEVELOPMENT (REIMBURSABLE),25.5,Research and development contracts,R,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,329999.85,986543.98,1196035.1,986543.98,1196035.1,0.0,0.0,0.0,0.0,0.0,0.0,539490.97,0.0,329999.85,329999.85,329999.85,0.0,0.0,209491.12,0.0,209491.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
railroad crossing elimination,20.327,FY2025P08,Department of Transportation,Transportation,Ground transportation,069-0760,"Railroad Crossing Elimination Program, Federal Railroad Administration, Transportation",11,RAILROAD CROSSING ELIMINATION GRANTS (IIJA SUPP),41.0,"Grants, subsidies, and contributions",D,Z,Infrastructure Investment and Jobs Act,78230312.0,165477406.42,94402680.0,165477406.42,94402680.0,0.0,0.0,0.0,0.0,0.0,0.0,7155585.58,0.0,0.0,0.0,0.0,0.0,0.0,7155585.58,0.0,7155585.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
