fpi_program_name,fpi_al_number,submission_period,agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,obligations_undelivered_orders_unpaid_total,obligations_undelivered_orders_unpaid_total_FYB,USSGL480100_undelivered_orders_obligations_unpaid,USSGL480100_undelivered_orders_obligations_unpaid_FYB,USSGL488100_upward_adj_prior_year_undeliv_orders_oblig_unpaid,obligations_delivered_orders_unpaid_total,obligations_delivered_orders_unpaid_total_FYB,USSGL490100_delivered_orders_obligations_unpaid,USSGL490100_delivered_orders_obligations_unpaid_FYB,USSGL498100_upward_adj_of_prior_year_deliv_orders_oblig_unpaid,gross_outlay_amount_FYB_to_period_end,gross_outlay_amount_FYB,gross_outlays_undelivered_orders_prepaid_total,gross_outlays_undelivered_orders_prepaid_total_FYB,USSGL480200_undelivered_orders_obligations_prepaid_advanced,USSGL480200_undelivered_orders_obligations_prepaid_advanced_FYB,USSGL488200_upward_adj_prior_year_undeliv_orders_oblig_prepaid,gross_outlays_delivered_orders_paid_total,gross_outlays_delivered_orders_paid_total_FYB,USSGL490200_delivered_orders_obligations_paid,USSGL490800_authority_outlayed_not_yet_disbursed,USSGL490800_authority_outlayed_not_yet_disbursed_FYB,USSGL498200_upward_adj_of_prior_year_deliv_orders_oblig_paid,deobligations_or_recoveries_or_refunds_from_prior_year,USSGL487100_downward_adj_prior_year_unpaid_undeliv_orders_oblig,USSGL497100_downward_adj_prior_year_unpaid_deliv_orders_oblig,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,USSGL483100_undelivered_orders_obligations_transferred_unpaid,USSGL493100_delivered_orders_obligations_transferred_unpaid,USSGL483200_undeliv_orders_oblig_transferred_prepaid_advanced,last_modified_date
mainstream vouchers,14.879,FY2024P12,Department of Housing and Urban Development,Income Security,Housing assistance,086-0302,"Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",13,SECTION 811 MAINSTREAM VOUCHERS,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,625709592.0,215338523.0,354215796.0,215338523.0,354215796.0,0.0,8358329.0,8358329.0,8358329.0,10316066.0,0.0,766544602.0,12625492.0,27221826.0,27221826.0,27221826.0,12625492.0,0.0,751948268.0,0.0,751948268.0,0.0,0.0,0.0,-1273913.0,-375323.0,0.0,0.0,-898590.0,0.0,0.0,0.0,2024-11-15
public housing capital fund,14.872,FY2024P12,Department of Housing and Urban Development,Income Security,Housing assistance,086-0304,"Public Housing Capital Fund, Public and Indian Housing, Housing and Urban Development",550,PUBLIC HOUSING CAPITAL FUND (DIRECT),41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,181918.57,181918.57,181918.57,181918.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-163979.58,0.0,-163979.58,0.0,0.0,0.0,0.0,0.0,2024-11-15
public housing capital fund,14.872,FY2024P12,Department of Housing and Urban Development,Income Security,Housing assistance,086-0304,"Public Housing Capital Fund, Public and Indian Housing, Housing and Urban Development",550,PUBLIC HOUSING CAPITAL FUND (DIRECT),94.0,Financial transfers,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
indian housing block grants,14.867,FY2024P12,Department of Housing and Urban Development,Income Security,Housing assistance,086-0313,"Native American Programs, Public and Indian Housing, Housing and Urban Development",10,INDIAN HOUSING BLOCK GRANTS,25.3,Other goods and services from Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
indian housing block grants,14.867,FY2024P12,Department of Housing and Urban Development,Income Security,Housing assistance,086-0313,"Native American Programs, Public and Indian Housing, Housing and Urban Development",10,INDIAN HOUSING BLOCK GRANTS,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,1329651445.77,1785485193.72,1424826302.21,1785485193.72,1424826302.21,0.0,17901654.59,17901654.59,17901654.59,56874189.35,0.0,1007965089.02,255507714.19,333469364.64,333469364.64,333469364.64,255507714.19,0.0,930003438.57,0.0,930003438.57,0.0,0.0,0.0,-10782105.27,-2295370.74,0.0,0.0,-8486734.53,0.0,0.0,0.0,2024-11-15
manufactured housing,14.171,FY2024P12,Department of Housing and Urban Development,Commerce and Housing Credit,Other advancement of commerce,086-8119,"Manufactured Housing Fees Trust Fund, Housing Programs, Housing and Urban Development",2,MANUFACTURED HOUSING PROGRAM COSTS,25.1,Advisory and assistance services,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,711991.96,2054476.75,1430607.27,2054476.75,1430607.27,0.0,1801215.67,1801215.67,1801215.67,1831987.71,0.0,118894.52,0.0,0.0,0.0,0.0,0.0,0.0,118894.52,0.0,118894.52,0.0,0.0,0.0,-124667.81,-124667.81,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
manufactured housing,14.171,FY2024P12,Department of Housing and Urban Development,Commerce and Housing Credit,Other advancement of commerce,086-8119,"Manufactured Housing Fees Trust Fund, Housing Programs, Housing and Urban Development",2,MANUFACTURED HOUSING PROGRAM COSTS,25.2,Other services from non-Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,8476463.74,8929899.37,10308562.63,8929899.37,10308562.63,0.0,1079865.94,1079865.94,1079865.94,505444.12,0.0,9280705.18,0.0,0.0,0.0,0.0,0.0,0.0,9280705.18,0.0,9280705.18,0.0,0.0,0.0,-1919681.55,-1919681.55,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
manufactured housing,14.171,FY2024P12,Department of Housing and Urban Development,Commerce and Housing Credit,Other advancement of commerce,086-8119,"Manufactured Housing Fees Trust Fund, Housing Programs, Housing and Urban Development",2,MANUFACTURED HOUSING PROGRAM COSTS,25.3,Other goods and services from Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,50336.94,50336.94,50336.94,50336.94,0.0,248817.06,248817.06,248817.06,248817.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50336.94,-50336.94,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
mainstream vouchers,14.879,FY2025P08,Department of Housing and Urban Development,Income Security,Housing assistance,086-0302,"Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",13,SECTION 811 MAINSTREAM VOUCHERS,41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,739361948.0,412577229.0,215861790.0,412577229.0,215861790.0,0.0,23157646.0,23157646.0,23157646.0,8358329.0,0.0,527847192.0,27221826.0,10557484.0,10557484.0,10557484.0,27221826.0,0.0,544511534.0,0.0,544511534.0,0.0,0.0,0.0,-1022906.0,-813513.0,0.0,0.0,-209393.0,0.0,0.0,0.0,2025-07-01
public housing capital fund,14.872,FY2025P08,Department of Housing and Urban Development,Income Security,Housing assistance,086-0304,"Public Housing Capital Fund, Public and Indian Housing, Housing and Urban Development",550,PUBLIC HOUSING CAPITAL FUND (DIRECT),41.0,"Grants, subsidies, and contributions",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,17938.99,17938.99,17938.99,17938.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11061.22,0.0,-11061.22,0.0,0.0,0.0,0.0,0.0,2025-07-01
