fpi_program_name,fpi_al_number,submission_period,agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,obligations_undelivered_orders_unpaid_total,obligations_undelivered_orders_unpaid_total_FYB,USSGL480100_undelivered_orders_obligations_unpaid,USSGL480100_undelivered_orders_obligations_unpaid_FYB,USSGL488100_upward_adj_prior_year_undeliv_orders_oblig_unpaid,obligations_delivered_orders_unpaid_total,obligations_delivered_orders_unpaid_total_FYB,USSGL490100_delivered_orders_obligations_unpaid,USSGL490100_delivered_orders_obligations_unpaid_FYB,USSGL498100_upward_adj_of_prior_year_deliv_orders_oblig_unpaid,gross_outlay_amount_FYB_to_period_end,gross_outlay_amount_FYB,gross_outlays_undelivered_orders_prepaid_total,gross_outlays_undelivered_orders_prepaid_total_FYB,USSGL480200_undelivered_orders_obligations_prepaid_advanced,USSGL480200_undelivered_orders_obligations_prepaid_advanced_FYB,USSGL488200_upward_adj_prior_year_undeliv_orders_oblig_prepaid,gross_outlays_delivered_orders_paid_total,gross_outlays_delivered_orders_paid_total_FYB,USSGL490200_delivered_orders_obligations_paid,USSGL490800_authority_outlayed_not_yet_disbursed,USSGL490800_authority_outlayed_not_yet_disbursed_FYB,USSGL498200_upward_adj_of_prior_year_deliv_orders_oblig_paid,deobligations_or_recoveries_or_refunds_from_prior_year,USSGL487100_downward_adj_prior_year_unpaid_undeliv_orders_oblig,USSGL497100_downward_adj_prior_year_unpaid_deliv_orders_oblig,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,USSGL483100_undelivered_orders_obligations_transferred_unpaid,USSGL493100_delivered_orders_obligations_transferred_unpaid,USSGL483200_undeliv_orders_oblig_transferred_prepaid_advanced,last_modified_date
transition assistance program,17.807,FY2024P12,Department of Labor,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",016-0164,"Veterans Employment and Training, Departmental Management, Labor",8,TRANSITION ASSISTANCE PROGRAM (TAP) - REIMBURSABLE,23.3,"Communications, utilities, and miscellaneous charges",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,156156.65,49473.12,40533.68,49473.12,40533.68,0.0,2791.24,2791.24,2791.24,13921.03,0.0,158347.0,0.0,0.0,0.0,0.0,0.0,0.0,158347.0,0.0,158347.0,0.0,0.0,0.0,-49473.12,-49473.12,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
transition assistance program,17.807,FY2024P12,Department of Labor,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",016-0164,"Veterans Employment and Training, Departmental Management, Labor",8,TRANSITION ASSISTANCE PROGRAM (TAP) - REIMBURSABLE,24.0,Printing and reproduction,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,650000.0,59381.55,244473.85,59381.55,244473.85,0.0,0.0,0.0,0.0,0.0,0.0,835092.3,0.0,0.0,0.0,0.0,0.0,0.0,835092.3,0.0,835092.3,0.0,0.0,0.0,-30996.45,-30996.45,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
transition assistance program,17.807,FY2024P12,Department of Labor,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",016-0164,"Veterans Employment and Training, Departmental Management, Labor",8,TRANSITION ASSISTANCE PROGRAM (TAP) - REIMBURSABLE,25.1,Advisory and assistance services,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,11045.6,11045.6,11045.6,11045.6,0.0,24031.99,24031.99,24031.99,24031.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
transition assistance program,17.807,FY2024P12,Department of Labor,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",016-0164,"Veterans Employment and Training, Departmental Management, Labor",8,TRANSITION ASSISTANCE PROGRAM (TAP) - REIMBURSABLE,25.2,Other services from non-Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,29585023.95,26232357.25,29409260.16,26232357.25,29409260.16,0.0,3193945.57,3193945.57,3193945.57,3528862.36,0.0,33096843.65,0.0,0.0,0.0,0.0,0.0,0.0,33096843.65,0.0,33096843.65,0.0,0.0,0.0,-674640.17,-674640.17,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
transition assistance program,17.807,FY2024P12,Department of Labor,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",016-0164,"Veterans Employment and Training, Departmental Management, Labor",8,TRANSITION ASSISTANCE PROGRAM (TAP) - REIMBURSABLE,25.3,Other goods and services from Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,2955638.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2955638.04,2276298.05,1562497.64,1562497.64,1562497.64,2276298.05,0.0,3669438.45,0.0,3669438.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
transition assistance program,17.807,FY2024P12,Department of Labor,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",016-0164,"Veterans Employment and Training, Departmental Management, Labor",8,TRANSITION ASSISTANCE PROGRAM (TAP) - REIMBURSABLE,25.7,Operation and maintenance of equipment,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,144467.61,144467.61,144467.61,144467.61,0.0,12562.4,12562.4,12562.4,12562.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
women's bureau,17.700,FY2024P12,Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,016-0165,"Salaries and Expenses, Departmental Management, Labor",7,WOMEN'S BUREAU,11.1,Full-time permanent,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,6567894.95,0.0,0.0,0.0,0.0,0.0,172893.29,172893.29,172893.29,392094.79,0.0,6787096.45,0.0,0.0,0.0,0.0,0.0,0.0,6787096.45,0.0,6783128.47,0.0,0.0,3967.98,-15154.67,0.0,-15154.67,0.0,0.0,0.0,0.0,0.0,2024-11-15
women's bureau,17.700,FY2024P12,Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,016-0165,"Salaries and Expenses, Departmental Management, Labor",7,WOMEN'S BUREAU,11.3,Other than full-time permanent,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,114798.57,0.0,0.0,0.0,0.0,0.0,3151.48,3151.48,3151.48,5506.38,0.0,117153.47,0.0,0.0,0.0,0.0,0.0,0.0,117153.47,0.0,115772.92,0.0,0.0,1380.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
women's bureau,17.700,FY2024P12,Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,016-0165,"Salaries and Expenses, Departmental Management, Labor",7,WOMEN'S BUREAU,11.5,Other personnel compensation,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,145022.19,0.0,0.0,0.0,0.0,0.0,2683.27,2683.27,2683.27,0.0,0.0,142338.92,0.0,0.0,0.0,0.0,0.0,0.0,142338.92,0.0,130583.28,0.0,0.0,11755.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15
women's bureau,17.700,FY2024P12,Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,016-0165,"Salaries and Expenses, Departmental Management, Labor",7,WOMEN'S BUREAU,12.1,Civilian personnel benefits,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,2427928.88,0.0,0.0,0.0,0.0,0.0,58123.82,58123.82,58123.82,134646.27,0.0,2504451.33,0.0,0.0,0.0,0.0,0.0,0.0,2504451.33,0.0,2501401.85,0.0,0.0,3049.48,-866.3,0.0,-866.3,0.0,0.0,0.0,0.0,0.0,2024-11-15
